size,seed,train,test,auc,acc
7000,50,5600,1400,0.9427040816326532,0.8778571428571429
7000,51,5600,1400,0.9556632653061224,0.8957142857142857
7000,52,5600,1400,0.957291836734694,0.8921428571428571
7000,53,5600,1400,0.958108163265306,0.8921428571428571
8500,42,6800,1700,0.9508754325259516,0.8911764705882353
8500,43,6800,1700,0.958236678200692,0.888235294117647
8500,44,6800,1700,0.9572456747404844,0.8864705882352941
8500,45,6800,1700,0.9563058823529412,0.8952941176470588
8500,46,6800,1700,0.9574754325259516,0.8823529411764706
8500,47,6800,1700,0.9567031141868512,0.8805882352941177
8500,48,6800,1700,0.9563916955017302,0.8870588235294118
8500,49,6800,1700,0.9588567474048444,0.8923529411764706
8500,50,6800,1700,0.9564885813148788,0.8852941176470588
8500,51,6800,1700,0.9569882352941176,0.8905882352941177
8500,52,6800,1700,0.9571806228373704,0.8888235294117647
8500,53,6800,1700,0.9487543252595156,0.88
11265,42,8778,2195,0.9589543682641596,0.8915717539863326
11265,43,8778,2195,0.95862121106381,0.8915717539863326
11265,44,8778,2195,0.961395305557494,0.8952164009111617
11265,45,8778,2195,0.9598533111339308,0.896127562642369
11265,46,8778,2195,0.9598026313603116,0.8915717539863326
11265,47,8778,2195,0.9598366948147116,0.889749430523918
11265,48,8776,2197,0.9560087972453876,0.8903049613108784
11265,49,8778,2195,0.9612391121568314,0.8865603644646924
11265,50,8779,2194,0.9577687082975764,0.8855970829535096
11265,51,8778,2195,0.9610912269157786,0.8956719817767653
11265,52,8778,2195,0.9612972692740996,0.8952164009111617
11265,53,8778,2195,0.9578535371158724,0.896127562642369
