model,true_label,pred_prob,shap_cdr3_length,shap_cdr3_pi,shap_cdr3_charge,shap_cdr3_hydrophobicity,shap_cdr3_aromaticity,shap_cdr3_instability,shap_cdr3_frac_charged,shap_cdr3_frac_hydrophobic,shap_cdr3_D,shap_cdr3_E,shap_cdr3_R,shap_cdr3_K,shap_cdr3_H,shap_cdr3_W,shap_cdr3_Y,shap_cdr3_F,shap_cdr3_G,shap_cdr3_P,shap_cdr3_C,shap_vh_length,shap_vh_cdr3_length_ratio,shap_vh_charge,shap_vh_hydrophobicity,fval_cdr3_length,fval_cdr3_pi,fval_cdr3_charge,fval_cdr3_hydrophobicity,fval_cdr3_aromaticity,fval_cdr3_instability,fval_cdr3_frac_charged,fval_cdr3_frac_hydrophobic,fval_cdr3_D,fval_cdr3_E,fval_cdr3_R,fval_cdr3_K,fval_cdr3_H,fval_cdr3_W,fval_cdr3_Y,fval_cdr3_F,fval_cdr3_G,fval_cdr3_P,fval_cdr3_C,fval_vh_length,fval_vh_cdr3_length_ratio,fval_vh_charge,fval_vh_hydrophobicity
XGBoost-biophysical,1,,-0.0250007547438144,0.5104320645332336,1.1285545825958252,0.0442113541066646,-0.4905081987380981,-0.13899727165699,0.1339858323335647,-0.0099098784849047,0.0247958172112703,-0.0118829850107431,0.0714457780122757,-0.001433981815353,-0.0012309614103287,-0.6725650429725647,0.0286318026483058,0.0054133096709847,0.0539535880088806,0.004017021972686,0.0,-0.0373507626354694,0.0728914588689804,0.2881445586681366,-0.2850696146488189,14.0,5.98199987411499,0.0007999999797903,-0.4857000112533569,0.428600013256073,47.82899856567383,0.1429000049829483,0.3571000099182129,1.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,120.0,8.571399688720703,1.007200002670288,-0.1683000028133392
XGBoost-biophysical,1,,0.0187868848443031,0.643568217754364,1.4724411964416504,-0.2290674597024917,-0.054723996669054,-0.15254507958889,-0.1910258680582046,-0.0010200962424278,0.0500885285437107,-0.0751396641135215,0.1748776137828827,-0.0053301695734262,0.0025870269164443,-0.0609869845211505,0.0143880769610404,0.0049259536899626,-0.1059115603566169,0.1079531535506248,0.0,-0.0620307885110378,0.090127445757389,0.8740441203117371,0.5152161121368408,14.0,3.510999917984009,-3.9951000213623047,-1.128600001335144,0.2856999933719635,47.82899856567383,0.428600013256073,0.3571000099182129,3.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,120.0,8.571399688720703,-2.9886999130249023,-0.2433000057935714
XGBoost-biophysical,1,,0.147984966635704,0.3560517132282257,1.237014889717102,-0.2443455755710601,-0.0729920119047164,0.046791985630989,-0.1950235813856125,-0.0740716978907585,0.0378958396613597,0.0412725545465946,0.1167134344577789,0.0512582436203956,0.0026561678387224,0.1784131824970245,0.012729512527585,0.008707289583981,-0.0800473168492317,-0.0135823339223861,0.0,-0.0963966622948646,0.7193687558174133,-0.3451940417289734,1.7224992513656616,11.0,6.170000076293945,0.001700000022538,-1.3818000555038452,0.2727000117301941,58.14500045776367,0.3635999858379364,0.1817999929189682,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,119.0,10.81820011138916,3.008500099182129,-0.4075999855995178
XGBoost-biophysical,1,,-0.010974371805787,-0.5171038508415222,-2.207742929458618,-1.0956517457962036,-0.0740327388048172,-0.0448713265359401,-0.7438674569129944,-0.2242843806743621,-0.0016961842775344,0.044636595994234,-0.374830424785614,0.0272324681282043,-0.0174202285706996,0.2540409564971924,0.0302929207682609,0.0063625550828874,0.0689897611737251,-0.0055670915171504,0.0,-0.026663364842534,0.0481325984001159,-0.6023107171058655,0.3902508616447449,16.0,11.237000465393066,2.092600107192993,-1.600000023841858,0.25,63.474998474121094,0.4375,0.125,1.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,3.0,0.0,1.0,122.0,7.625,3.099100112915039,-0.3197000026702881
XGBoost-biophysical,0,,-0.0173335894942283,-0.4230263531208038,0.9307602047920228,-0.1501020938158035,-0.3082835972309112,-0.1290967762470245,-0.1679880619049072,-0.0975737571716308,-0.0477554388344287,-0.0154149262234568,-0.0495087094604969,-0.0017726278165355,-0.0028526915702968,-0.2006991356611251,-0.024696322157979,-0.0475899167358875,0.0065126726403832,-0.0183359123766422,0.0,-0.0274750981479883,-0.0198874399065971,-0.0784841403365135,0.1221108064055442,16.0,7.004000186920166,0.0925000011920929,-0.8313000202178955,0.3125,67.17500305175781,0.3125,0.3125,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,122.0,7.625,1.0988999605178833,-0.2188999950885772
XGBoost-biophysical,1,,0.0070238248445093,0.6101781725883484,1.3583924770355225,-0.1294105648994445,0.0801562964916229,-0.1322276890277862,0.1353767067193985,0.0414412952959537,0.0336957983672618,0.0765513405203819,0.0592351071536541,0.000364073581295,0.0010674729710444,0.104419007897377,0.0048281261697411,0.0080158868804574,-0.0377888455986976,0.103209875524044,0.0,-0.0134020103141665,-0.0288624502718448,0.8559247255325317,-0.3061439990997314,16.0,4.083000183105469,-0.9980000257492064,-0.3811999857425689,0.25,43.099998474121094,0.1875,0.25,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,122.0,7.625,0.0085000004619359,-0.1597999930381775
XGBoost-biophysical,0,,-0.0039500966668128,-1.1577093601226809,-3.099043130874634,-0.4737491309642792,-0.1065920889377594,-0.1539281159639358,-0.383782148361206,-0.0073737585917115,0.0159065835177898,-0.0068150190636515,-0.1137587204575538,-0.0112901022657752,-0.004260235466063,-0.217722401022911,-0.0657218843698501,0.0020880997180938,-0.0281521286815404,0.0070592896081507,0.0,-0.0683771967887878,-0.2445362359285354,-1.475941181182861,0.6624022126197815,16.0,12.5,3.0917000770568848,-1.399999976158142,0.25,67.17500305175781,0.375,0.3125,1.0,0.0,4.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,121.0,7.5625,5.186399936676025,-0.3727000057697296
XGBoost-biophysical,0,,-0.0036620025057345,-0.5022460222244263,-2.8413288593292236,-0.4605460166931152,-0.0221652034670114,-0.1704705208539962,-0.5946044921875,0.0272251479327678,-0.0007707303157076,-0.0060483799315989,0.0898120775818824,0.0167422499507665,-0.0422278456389904,-0.1719058901071548,0.0075829210691154,0.0020160353742539,-0.0115952184423804,0.0788817107677459,0.0,-0.0183931346982717,0.0459038503468036,-0.5289549231529236,0.2769961059093475,16.0,11.335000038146973,2.182300090789795,-1.4249999523162842,0.25,43.099998474121094,0.375,0.25,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,122.0,7.625,3.188699960708618,-0.2967000007629394
XGBoost-biophysical,1,,-0.0513342171907424,-0.1744492650032043,1.1157751083374023,-0.1191180422902107,0.4992479085922241,-0.1583594977855682,0.0586242601275444,0.1589149832725525,0.0586826875805854,-0.0164480172097682,0.0175903663039207,-0.0068922969512641,0.0058746337890625,0.3588324785232544,-0.0052636410109698,0.0178004279732704,-0.0346260108053684,-0.090441770851612,0.0,-0.0176442619413137,0.0580639727413654,-0.1127803698182106,1.0059046745300293,16.0,10.098999977111816,1.0008000135421753,-0.887499988079071,0.125,67.17500305175781,0.1875,0.5,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,122.0,7.625,2.0090999603271484,-0.363099992275238
XGBoost-biophysical,0,,0.0023077121004462,-0.7168452739715576,-1.3278162479400637,-0.4214235246181488,-0.3186099231243133,1.110885500907898,0.0650424510240554,-0.0333094149827957,0.0050489623099565,-0.0061556533910334,-0.1055693626403808,-0.0085873063653707,-0.0025831828825175,-0.2719264328479767,-0.0403120070695877,0.0053592035546898,-0.0161045957356691,0.0123967714607715,0.0,0.000613322481513,0.0193516537547111,-1.8685965538024905,1.5459370613098145,16.0,12.199000358581545,2.0917000770568848,-1.2936999797821045,0.3125,90.93800354003906,0.3125,0.1875,1.0,0.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,122.0,7.625,6.187300205230713,-0.4451000094413757
